uid,brand,year,model,title,usedOrNew,transmission,engine,driveType,fuelType,fuelConsumption,kilometres,cylindersInEngine,bodyType,suburb,state,doors,seats,extColour,intColour,price
6cfc7e2e-90c8-4009-a3c5-1513e1e34a23,Toyota,2017,Landcruiser,GXL (4X4),USED,Manual,4.5,4WD,Diesel,10.7,200843,8.0,Ute / Tray,Pakenham,VIC,2,2,White,Grey,77990
c4cfd90c-18f1-48b0-a9a5-74614ce7b5f9,Toyota,2010,Hilux,Workmate,USED,Automatic,2.7,Rear,Unleaded,11.2,158728,4.0,Ute / Tray,Burwood,VIC,2,3,White,Grey Leather,15890
c6f14045-8072-4343-8676-989e21626c3f,Toyota,2014,Hilux,SR,USED,Manual,3.0,Rear,Diesel,8.1,205349,4.0,Ute / Tray,Nambour,QLD,4,5,Black,Black,21990
b94152db-b877-4126-b027-43402b0d4f68,Toyota,2021,RAV4,GX (2WD) Hybrid,USED,Automatic,2.5,Front,Hybrid,4.7,44201,4.0,SUV,Preston,VIC,5,5,Silver,Grey,49990
61c20c9d-0bb6-4ab6-90ca-03563127791a,Toyota,2020,Yaris,SX,USED,Automatic,1.5,Front,Unleaded,4.9,16852,3.0,Hatchback,Pakenham,VIC,5,5,Silver,Black,33990
d0aaf030-572e-4a4c-876a-40f5a55359a3,Toyota,2020,Yaris,Ascent Sport,USED,Automatic,1.5,Front,Unleaded,4.9,8321,3.0,Hatchback,Pakenham,VIC,5,5,Blue,Black,29990
4a6ce935-fecc-42a5-9b47-51e372cb2f74,Toyota,2020,Corolla,Ascent Sport (hybrid),USED,Automatic,1.8,Front,Hybrid,3.5,55386,4.0,Sedan,CAMBERWELL,VIC,4,5,Silver,Black,32490
ec2c40b3-914b-4f98-8a2f-c9da4e88c514,Toyota,2014,Corolla,Ascent,USED,Automatic,1.8,Front,Unleaded,6.6,89412,4.0,Hatchback,Maroochydore,QLD,5,5,Red,Black,19990
6c1c8a6c-8000-45e5-954f-280e7fdea4e9,Toyota,2022,Camry,Ascent Hybrid,USED,Automatic,2.5,Front,Hybrid,4.5,36475,4.0,Sedan,Bendigo,VIC,4,5,Red,Black,43990
0bc43e02-965f-4fcf-851a-ac1fc025fdd1,Toyota,2017,Camry,Altise,USED,Automatic,2.5,Front,Unleaded,7.9,174095,4.0,Sedan,Molendinar,QLD,4,5,White,Grey,16990
01221dae-a578-4cdb-b6dd-f9bf59c3dc46,Toyota,2020,Hilux,Rugged X (4X4),USED,Automatic,2.8,4WD,Diesel,8.5,61496,4.0,Ute / Tray,Kunda Park,QLD,4,5,Black,Grey & Black Fabric,64990
f2441070-0f84-4c63-972e-d47c351d44fd,Toyota,2022,Fortuner,GXL,USED,Automatic,2.8,4WD,Diesel,7.6,5637,4.0,SUV,Maddington,WA,4,7,White,Black Fabric,65888
82e35aa4-138f-4a65-9634-065f5a0d2f5f,Toyota,2019,Camry,Ascent,USED,Automatic,2.5,Front,Unleaded,7.8,58807,4.0,Sedan,Revesby,NSW,4,5,White,Black,29990
7249d25c-8fce-45e2-a6ab-3a6fee5232bf,Toyota,2008,Tarago,GLI,USED,Automatic,2.4,Front,Unleaded,9.5,318754,4.0,Wagon,Elderslie,NSW,4,8,Brown,Grey Cloth,7999
17581ac3-2389-4707-9398-a8c5fdb6da7d,Toyota,2008,Corolla,Ascent,USED,Manual,1.8,Front,Unleaded,7.3,156128,4.0,Sedan,Minchinbury,NSW,4,5,Red,Black,10995
7bbe74b5-3f96-44f0-bafb-d3c85c754dca,Toyota,2012,Camry,Altise,USED,Automatic,2.5,Front,Unleaded,7.8,208330,4.0,Sedan,Elderslie,NSW,4,5,White,Cloth,12999
d662054d-7f47-4bfd-9cd8-ceb4be6a67c6,Toyota,2008,Corolla,Ascent,USED,Automatic,1.8,Front,Unleaded,7.7,109000,4.0,Hatchback,Minchinbury,NSW,5,5,Blue,Black,13995
6227efa3-df38-4613-ad9d-492f04c45e37,Toyota,2017,Corolla,Ascent Sport,USED,Automatic,1.8,Front,Unleaded,6.1,103814,4.0,Hatchback,Bentleigh,VIC,5,5,Red,Black,21990
6828fe23-0347-401e-bd98-74a2bcf859f2,Toyota,2016,Hilux,Workmate,USED,Automatic,2.7,Rear,Unleaded,10.9,116113,4.0,Ute / Tray,Lidcombe,NSW,2,2,White,Grey,22999
cf8955bf-f4c1-4a07-9faa-4f5b3a819a50,Toyota,2018,RAV4,GXL (4X4),USED,Automatic,2.5,AWD,Unleaded,8.5,132928,4.0,SUV,Taylors Beach,NSW,4,5,Silver,Black,31888
b162ea0d-3f3a-4262-b359-5f0d8b14acb8,Toyota,2021,Hilux,SR (4X4),USED,Automatic,2.8,4WD,Diesel,8.0,41970,4.0,Ute / Tray,Waitara,NSW,4,5,White,Black,57888
54389082-2acf-4931-acd7-5e51f4a23d6b,Toyota,2017,Camry,Altise Hybrid,USED,Automatic,2.5,Front,Hybrid,5.2,117695,4.0,Sedan,Homebush West,NSW,4,5,Silver,Black,27995
1a5a3116-6f4c-4fb8-9f9a-047a5af5209c,Toyota,2013,Hilux,SR5 (4X4),USED,Automatic,4.0,4WD,Unleaded,13.0,202937,6.0,Ute / Tray,Croydon,NSW,4,5,Black,Grey,26990
112b6c4c-358c-4754-b322-64dab0897fc1,Toyota,2015,Hilux,Workmate,USED,Manual,2.7,Rear,Unleaded,11.0,357454,4.0,Ute / Tray,Croydon,NSW,2,3,White,Grey Leather,11990
10444148-b7a1-4967-9ce9-8bda65ee0d14,Toyota,2020,HiAce,Slwb,USED,Automatic,3.5,Rear,Unleaded,12.0,168623,6.0,Commercial,Lidcombe,NSW,4,2,White,Grey,62999
859a91db-b562-488f-9a6c-134ce8caade2,Toyota,2017,C-HR,(2WD),USED,Automatic,1.2,Front,Premium,6.4,41820,4.0,SUV,Port Macquarie,NSW,4,5,Red,Black,28990
283f2e64-102e-4ce4-b862-ea50cd65608e,Toyota,2019,RAV4,GX AWD Hybrid,USED,Automatic,2.5,AWD,Hybrid,4.8,136608,4.0,SUV,Brookvale,NSW,5,5,White,Grey,44888
40112b4a-b1fd-44d0-954b-f3e24c4ea310,Toyota,2014,RAV4,GXL (4X4),USED,Manual,2.2,AWD,Diesel,6.5,173129,4.0,SUV,Castle Hill,NSW,4,5,Blue,Black,19990
ac864f0c-6fb9-4cee-b5e4-c0413a76465f,Toyota,2019,Corolla,Ascent,USED,Automatic,1.8,Front,Unleaded,6.6,68390,4.0,Sedan,Castle Hill,NSW,4,5,Silver,Black,27990
66071bfa-7f8f-4cac-9ee7-3cc2362aa17d,Toyota,2023,Landcruiser,Prado Kakadu,USED,Automatic,2.8,4WD,Diesel,7.9,1000,4.0,SUV,Jamisontown,NSW,4,7,Black,Black,109990
f7630c34-8049-47cb-9f96-c23fca629ea8,Toyota,2014,Corolla,Ascent Sport,USED,Automatic,1.8,Front,Unleaded,6.6,118700,4.0,Hatchback,Castle Hill,NSW,5,5,White,Black,20990
1004dee1-12eb-42ba-a7f6-8f79ceb9efe7,Toyota,2018,Corolla,Ascent Sport,USED,Automatic,1.8,Front,Unleaded,6.1,65490,4.0,Hatchback,Croydon,NSW,5,5,Blue,Grey,23990
